Domain,Resolution,Live
short.to,199.59.242.151,
xrl.in,199.59.242.151,
burnurl.com,199.66.92.32,
zip.net,200.147.99.195,
migre.me,200.98.167.131,
s.id,203.119.112.228,
liltext.com,204.11.56.48,
zipmyurl.com,205.186.152.88,
brzu.net,207.148.248.143,
xrl.us,207.171.7.42,
metamark.net,207.171.7.45,
bitw.in,207.246.73.9,
freze.it,207.38.94.33,
godaddy.co,208.109.192.64,
rt.tc,208.113.135.145,
urlhawk.com,208.91.196.105,
short.pk,208.91.199.91,
shrinkee.com,209.126.120.58,
mavrev.com,209.126.123.12,
tiny.ms,209.141.41.245,
tinypic.com,209.17.68.209,
esyurl.com,209.200.154.51,
trunc.it,209.37.248.35,
piurl.com,209.99.64.18,
go2cut.com,209.99.64.43,
kxb.me,209.99.64.52,
cc.cc,211.110.140.106,
y2u.be,211.120.50.211,
ha.do,211.233.50.248,
p.pw,212.1.213.138,
kratsi.cz,212.111.30.190,
twiturl.de,212.112.247.57,
b00.fr,212.129.37.247,
m1p.fr,212.129.46.90,
w1p.fr,212.129.46.90,
grin.to,212.18.11.52,
wpu.ir,212.24.97.155,
l9.fr,212.83.189.184,
skroc.pl,212.91.7.33,
utfg.sk,213.151.245.75,
clck.ru,213.180.204.221,
fnk.es,213.186.33.171,
blap.net,213.186.33.19,
nicou.ch,213.186.33.19,
vov.li,213.186.33.19,
ww7.fr,213.186.33.19,
urls.fr,213.186.33.2,
past.is,213.186.33.3,
g00.me,213.186.33.4,
l-k.be,213.186.33.4,
gurl.es,213.186.33.5,
minilien.com,213.186.33.5,
qrtag.fr,213.186.33.5,
relink.fr,213.186.33.5,
vgn.me,213.186.33.5,
yeca.eu,213.186.33.5,
a0.fr,213.186.33.87,
libero.it,213.209.17.209,
post.ly,216.146.46.11,
2fear.com,216.17.103.99,
2ya.com,216.17.103.99,
alturl.com,216.17.103.99,
shorturl.com,216.17.103.99,
bkite.com,216.239.32.21,
ru.ly,216.239.32.21,
make.my,216.239.34.21,
hugeurl.com,216.250.171.147,
u6e.de,217.144.143.21,
ytbe.co,217.160.0.140,
b54.in,217.160.0.249,
filz.fr,217.160.0.251,
mdl29.net,217.70.180.134,
